Model,Accuracy (%),MAPE (%),RMSE,MAE,R²,Training Time (s)
gradient_boosting,98.19118264375517,1.8088173562448306,1762.4828620181854,993.439455689716,0.994480510817788,7.072499990463257
ensemble,98.1415086100138,1.858491389986192,1664.8896122076285,1016.4817092896968,0.995074844256774,
random_forest,97.90887638206681,2.0911236179331967,1881.949660918395,1125.0772249302904,0.9937068934311991,1.6211602687835693
xgboost,97.70826296056549,2.291737039434509,1977.165374994549,1283.818279216921,0.9930539952865515,0.5469741821289062
